# path	elf_type	interp	needed (comma-separated)
EXTRA:work/extracted/files/MiSTer	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libImlib2.so.1,libbluetooth.so.3,libbz2.so.1.0,libc.so.6,libfreetype.so.6,libgcc_s.so.1,libm.so.6,libpng16.so.16,libpthread.so.0,librt.so.1,libstdc++.so.6,libz.so.1
libexec/rmt	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libc.so.6
usr/bin/7zr	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libc.so.6,libgcc_s.so.1,libm.so.6,libpthread.so.0,libstdc++.so.6
usr/bin/aconnect	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libasound.so.2,libc.so.6,libdl.so.2,libm.so.6,libpthread.so.0
usr/bin/adplay	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libadplug.so,libao.so.4,libasound.so.2,libbinio.so,libc.so.6,libdl.so.2,libgcc_s.so.1,libm.so.6,libstdc++.so.6
usr/bin/alsabat	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libasound.so.2,libc.so.6,libdl.so.2,libm.so.6,libpthread.so.0
usr/bin/alsaloop	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libasound.so.2,libc.so.6,libdl.so.2,libm.so.6,libpthread.so.0
usr/bin/alsamixer	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libasound.so.2,libc.so.6,libdl.so.2,libformw.so.6,libm.so.6,libmenuw.so.6,libncursesw.so.6,libpanelw.so.6,libpthread.so.0
usr/bin/alsatplg	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libasound.so.2,libatopology.so.2,libc.so.6,libdl.so.2,libm.so.6,libpthread.so.0
usr/bin/alsaucm	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libasound.so.2,libc.so.6,libdl.so.2,libm.so.6,libpthread.so.0
usr/bin/amidi	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libasound.so.2,libc.so.6,libdl.so.2,libm.so.6,libpthread.so.0
usr/bin/amixer	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libasound.so.2,libc.so.6,libdl.so.2,libm.so.6,libpthread.so.0
usr/bin/aplay	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libasound.so.2,libc.so.6,libdl.so.2,libm.so.6,libpthread.so.0,librt.so.1
usr/bin/aplaymidi	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libasound.so.2,libc.so.6,libdl.so.2,libm.so.6,libpthread.so.0
usr/bin/archivemount	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	ld-linux-armhf.so.3,libarchive.so.13,libc.so.6,libfuse.so.2,libpthread.so.0
