# path	class	soname	elf_type
usr/lib/ao/plugins-4/libalsa.so	library	libalsa.so	DYN (Shared object file)
usr/lib/bash/basename	library	basename	DYN (Shared object file)
usr/lib/bash/dirname	library	dirname	DYN (Shared object file)
usr/lib/bash/fdflags	library	fdflags	DYN (Shared object file)
usr/lib/bash/finfo	library	finfo	DYN (Shared object file)
usr/lib/bash/head	library	head	DYN (Shared object file)
usr/lib/bash/id	library	id	DYN (Shared object file)
usr/lib/bash/ln	library	ln	DYN (Shared object file)
usr/lib/bash/logname	library	logname	DYN (Shared object file)
usr/lib/bash/mkdir	library	mkdir	DYN (Shared object file)
usr/lib/bash/mypid	library	mypid	DYN (Shared object file)
usr/lib/bash/pathchk	library	pathchk	DYN (Shared object file)
usr/lib/bash/print	library	print	DYN (Shared object file)
usr/lib/bash/printenv	library	printenv	DYN (Shared object file)
usr/lib/bash/push	library	push	DYN (Shared object file)
usr/lib/bash/realpath	library	realpath	DYN (Shared object file)
usr/lib/bash/rmdir	library	rmdir	DYN (Shared object file)
usr/lib/bash/seq	library	seq	DYN (Shared object file)
usr/lib/bash/setpgid	library	setpgid	DYN (Shared object file)
usr/lib/bash/sleep	library	sleep	DYN (Shared object file)
usr/lib/bash/strftime	library	strftime	DYN (Shared object file)
usr/lib/bash/sync	library	sync	DYN (Shared object file)
usr/lib/bash/tee	library	tee	DYN (Shared object file)
usr/lib/bash/truefalse	library	truefalse	DYN (Shared object file)
usr/lib/bash/tty	library	tty	DYN (Shared object file)
usr/lib/bash/uname	library	uname	DYN (Shared object file)
usr/lib/bash/unlink	library	unlink	DYN (Shared object file)
usr/lib/bash/whoami	library	whoami	DYN (Shared object file)
usr/lib/bluetooth/plugins/sixaxis.so	library	sixaxis.so	DYN (Shared object file)
usr/lib/dhcpcd/dev/udev.so	library	udev.so	DYN (Shared object file)
usr/lib/gconv/ANSI_X3.110.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/ARMSCII-8.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/ASMO_449.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/BIG5.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/BIG5HKSCS.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/BRF.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/CP10007.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/CP1125.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/CP1250.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/CP1251.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/CP1252.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/CP1253.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/CP1254.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/CP1255.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/CP1256.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/CP1257.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/CP1258.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/CP737.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/CP770.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/CP771.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/CP772.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/CP773.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/CP774.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/CP775.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/CP932.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/CSN_369103.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/CWI.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/DEC-MCS.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/EBCDIC-AT-DE-A.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/EBCDIC-AT-DE.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/EBCDIC-CA-FR.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/EBCDIC-DK-NO-A.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/EBCDIC-DK-NO.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/EBCDIC-ES-A.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/EBCDIC-ES-S.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/EBCDIC-ES.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/EBCDIC-FI-SE-A.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/EBCDIC-FI-SE.so	plugin	-	DYN (Shared object file)
